"ID","SID","city","state"
360,5,"Kutch","Gujarat"
361,5,"Mehsana","Gujarat"
362,5,"Jamnagar","Gujarat"
363,5,"Panchmahal","Gujarat"
364,5,"Kheda","Gujarat"
365,5,"Vadodara","Gujarat"
366,5,"Junagadh","Gujarat"
367,5,"Jamnagar","Gujarat"
368,5,"Anand","Gujarat"
369,5,"Kheda","Gujarat"
370,5,"Sabarkatha","Gujarat"
371,5,"Mehsana","Gujarat"
372,5,"Junagadh","Gujarat"
373,5,"Amreli","Gujarat"
374,5,"Surendranagar","Gujarat"
375,5,"Panchmahal","Gujarat"
376,5,"Mehsana","Gujarat"
377,5,"Bhavnagar","Gujarat"
378,5,"Junagadh","Gujarat"
379,5,"Kutch","Gujarat"
380,5,"Junagadh","Gujarat"
381,5,"Gandhinagar","Gujarat"
382,5,"Kheda","Gujarat"
383,5,"Jamnagar","Gujarat"
384,5,"Aravalli","Gujarat"
385,5,"Morbi","Gujarat"
386,5,"Kheda","Gujarat"
387,5,"Narmada","Gujarat"
388,5,"Navsari","Gujarat"
389,5,"Vadodara","Gujarat"
390,5,"Banaskantha","Gujarat"
391,5,"Bhavnagar","Gujarat"
392,5,"Panchmahal","Gujarat"
393,5,"Valsad","Gujarat"
394,5,"Patan","Gujarat"
395,5,"Anand","Gujarat"
396,5,"Porbandar","Gujarat"
397,5,"Rajkot","Gujarat"
398,5,"Sabarkatha","Gujarat"
399,5,"Surat","Gujarat"
400,5,"Surendranagar","Gujarat"
401,5,"Tapi","Gujarat"
402,5,"Vadodara","Gujarat"
403,5,"Valsad","Gujarat"
404,25,"Ambala","Haryana"
405,25,"Panipat","Haryana"
406,25,"Karnal","Haryana"
407,25,"Mahendragarh","Haryana"
408,25,"Hisar","Haryana"
409,25,"Jhajjar","Haryana"
410,25,"Faridabad","Haryana"
411,25,"Hisar","Haryana"
412,25,"Rewari","Haryana"
413,25,"Bhiwani","Haryana"
414,25,"Bhiwani","Haryana"
415,25,"Kaithal","Haryana"
416,25,"Sirsa","Haryana"
417,25,"Faridabad","Haryana"
418,25,"Fatehabad","Haryana"
419,25,"Sonepat","Haryana"
420,25,"Karnal","Haryana"
421,25,"Sonepat","Haryana"
422,25,"Gurgaon","Haryana"
424,25,"Hisar","Haryana"
425,25,"Hisar","Haryana"
426,25,"Palwal","Haryana"
427,25,"Yamuna Nagar","Haryana"
428,25,"Jhajjar","Haryana"
429,25,"Jind","Haryana"
430,25,"Kaithal","Haryana"
431,25,"Sirsa","Haryana"
432,25,"Panchkula","Haryana"
433,25,"Karnal","Haryana"
434,25,"Kurukshetra","Haryana"
435,25,"Hisar","Haryana"
436,25,"Mahendragarh","Haryana"
437,25,"Sirsa","Haryana"
438,25,"Gurgaon","Haryana"
439,25,"Mahendragarh","Haryana"
440,25,"Jind","Haryana"
441,25,"Palwal","Haryana"
442,25,"Panchkula","Haryana"
443,25,"Panipat","Haryana"
444,25,"Kurukshetra","Haryana"
445,25,"Panchkula","Haryana"
446,25,"Panipat","Haryana"
447,25,"Rewari","Haryana"
448,25,"Rohtak","Haryana"
449,25,"Sirsa","Haryana"
450,25,"Sonepat","Haryana"
451,25,"Yamuna Nagar","Haryana"
452,24,"Bilaspur","Himachal Pradesh"
453,24,"Chamba","Himachal Pradesh"
454,24,"Hamirpur","Himachal Pradesh"
455,24,"Kangra","Himachal Pradesh"
456,24,"Kinnaur","Himachal Pradesh"
457,24,"Kullu","Himachal Pradesh"
458,24,"Lahaul And Spiti","Himachal Pradesh"
459,24,"Mandi","Himachal Pradesh"
460,24,"Shimla","Himachal Pradesh"
461,24,"Sirmaur","Himachal Pradesh"
462,24,"Solan","Himachal Pradesh"
463,24,"Una","Himachal Pradesh"
464,2,"Anantnag",
465,2,"Bandipora",
466,2,"Baramulla",
467,2,"Budgam",
468,2,"Doda",
469,2,"Jammu",
470,2,"Kargil",
471,2,"Kathua",
472,2,"Kupwara",
473,2,"Leh",
474,2,"Poonch",
475,2,"Pulwama",
476,2,"Rajouri",
477,2,"Reasi",
478,2,"Shopian",
479,2,"Srinagar",
480,2,"Udhampur",
481,20,"Bokaro","Jharkhand"
482,20,"Ranchi","Jharkhand"
483,20,"Ramgarh","Jharkhand"
484,20,"Bokaro","Jharkhand"
485,20,"West Singhbhum","Jharkhand"
486,20,"West Singhbhum","Jharkhand"
487,20,"Seraikela Kharsawan","Jharkhand"
488,20,"Bokaro","Jharkhand"
489,20,"Chatra","Jharkhand"
490,20,"Dhanbad","Jharkhand"
491,20,"Ranchi","Jharkhand"
492,20,"Palamu","Jharkhand"
493,20,"Deoghar","Jharkhand"
494,20,"Dhanbad","Jharkhand"
495,20,"Dumka","Jharkhand"
496,20,"East Singhbhum","Jharkhand"
497,20,"Garhwa","Jharkhand"
498,20,"East Singhbhum","Jharkhand"
499,20,"Giridih","Jharkhand"
500,20,"Godda","Jharkhand"
501,20,"Dhanbad","Jharkhand"
502,20,"Bokaro","Jharkhand"
503,20,"Gumla","Jharkhand"
504,20,"Hazaribagh","Jharkhand"
505,20,"Palamu","Jharkhand"
506,20,"East Singhbhum","Jharkhand"
507,20,"Jamtara","Jharkhand"
508,20,"Koderma","Jharkhand"
509,20,"Khunti","Jharkhand"
510,20,"Koderma","Jharkhand"
511,20,"Latehar","Jharkhand"
512,20,"Lohardaga","Jharkhand"
513,20,"Deoghar","Jharkhand"
514,20,"Bardhaman","Jharkhand"
515,20,"East Singhbhum","Jharkhand"
516,20,"Pakur","Jharkhand"
517,20,"Ramgarh","Jharkhand"
518,20,"Palamu","Jharkhand"
519,20,"Bokaro","Jharkhand"
520,20,"Ramgarh","Jharkhand"
521,20,"Ranchi","Jharkhand"
522,20,"Sahibganj","Jharkhand"
