State,Constituency,Date Of Election,Candidate,Candidate ID,Party,Age,Sex,Category
MAHARASHTRA,BARAMATI,4/17/2014,Supriya Sule,3386,NCP,44,F,GEN
MAHARASHTRA,BEED : BYE ELECTION ON 15-10-2014,0000-00-00,Munde Pritam,9896,BJP,31,F,GEN
MAHARASHTRA,BHANDARA-GONDIYA,4/10/2014,Nanabhau Falgunrao Patole,917,BJP,51,M,GEN
MAHARASHTRA,BHIWANDI,4/24/2014,Kapil Moreshwar Patil,5185,BJP,53,M,GEN
MAHARASHTRA,BULDHANA,4/10/2014,Jadhav Prataprao Ganpatrao,777,SHS,53,M,GEN
MAHARASHTRA,CHANDRAPUR,4/10/2014,Ahir Hansraj Gangaram,926,BJP,59,M,GEN
MAHARASHTRA,DHULE,4/24/2014,Bhamare Subhash Ramrao,5203,BJP,61,M,GEN
MAHARASHTRA,DINDORI,4/24/2014,Chavan Harishchandra Deoram,5822,BJP,62,M,ST
MAHARASHTRA,GADCHIROLI-CHIMUR,4/10/2014,Ashok Mahadeorao Nete,689,BJP,50,M,ST
MAHARASHTRA,HATKANANGLE,4/17/2014,Raju Shetty,3501,Swabhimani Paksha,46,M,GEN
MAHARASHTRA,HINGOLI,4/17/2014,Rajeev Shankarrao Satav,3511,INC,39,M,GEN
MAHARASHTRA,JALGAON,4/24/2014,Patil Ashok Tapiram,5833,BJP,52,M,GEN
MAHARASHTRA,JALNA,4/24/2014,Danve Raosaheb Dadarao,5855,BJP,60,M,GEN
MAHARASHTRA,KALYAN,4/24/2014,Dr.Shrikant Eknath Shinde,5869,SHS,27,M,GEN
MAHARASHTRA,KOLHAPUR,4/17/2014,Dhananjay Bhimrao Mahadik,3532,NCP,42,M,GEN
MAHARASHTRA,LATUR,4/17/2014,Gaikwad Sunil Baliram,3548,BJP,43,M,SC
MAHARASHTRA,MADHA,4/17/2014,Mohite Patil Vijaysinh Shankarrao,3565,NCP,69,M,GEN
MAHARASHTRA,MAVAL,4/17/2014,Barne Shrirang Chandu,3356,SHS,50,M,GEN
MAHARASHTRA,MUMBAI NORTH,4/24/2014,Gopal Chinayya Shetty,5896,BJP,60,M,GEN
MAHARASHTRA,MUMBAI NORTH CENTRAL,4/24/2014,Poonam Mahajan Alias Poonam Vajendla Rao,5902,BJP,33,F,GEN
MAHARASHTRA,MUMBAI NORTH EAST,4/24/2014,Kirit Somaiya,7220,BJP,60,M,GEN
MAHARASHTRA,MUMBAI NORTH WEST,4/24/2014,Gajanan Chandrakant Kirtikar,5908,SHS,70,M,GEN
MAHARASHTRA,MUMBAI SOUTH,4/24/2014,Sawant Arvind Ganpat,5913,SHS,62,M,GEN
MAHARASHTRA,MUMBAI SOUTH CENTRAL,4/24/2014,Shewale Rahul Ramesh,5950,SHS,41,M,GEN
MAHARASHTRA,NAGPUR,4/10/2014,Gadkari Nitin Jairam,1226,BJP,56,M,GEN
MAHARASHTRA,NANDED,4/17/2014,Shri Chavan Ashokrao Shankarrao,3590,INC,55,M,GEN
MAHARASHTRA,NANDURBAR,4/24/2014,Dr.Gavit Heena Vaijaykumar,7249,BJP,26,F,ST
MAHARASHTRA,NASHIK,4/24/2014,Godse Hement Tukaram,5961,SHS,43,M,GEN
MAHARASHTRA,OSMANABAD,4/17/2014,Gaikwad Ravindra Vishwanath,3598,SHS,54,M,GEN
MAHARASHTRA,PALGHAR,4/24/2014,Wanaga Chintaman Navasha,5977,BJP,63,M,ST
MAHARASHTRA,PARBHANI,4/17/2014,Jadhav Sanjay (Bandu) Haribhau,3621,SHS,47,M,GEN
MAHARASHTRA,PUNE,4/17/2014,Anil Shirole,3373,BJP,63,M,GEN
MAHARASHTRA,RAIGAD,4/24/2014,Geete Anant Gangaram,5997,SHS,63,M,GEN
MAHARASHTRA,RAMTEK,4/10/2014,Krupal Balaji Tumane,942,SHS,48,M,SC
MAHARASHTRA,RATNAGIRI SINDHUDURG,4/17/2014,Vinayak Bhaurao Raut,3642,SHS,60,M,GEN
MAHARASHTRA,RAVER,4/24/2014,Khadase Raksha Nikhil,5594,BJP,26,F,GEN
