"ID","state","city","SID"
421,"Haryana","Gohana",25
422,"Haryana","Gurgaon",25
423,"Haryana","Haibat(Yamuna Nagar)",25
424,"Haryana","Hansi",25
425,"Haryana","Hisar",25
426,"Haryana","Hodal",25
427,"Haryana","Jagadhri",25
428,"Haryana","Jhajjar",25
429,"Haryana","Jind",25
430,"Haryana","Kaithal",25
431,"Haryana","Kalan Wali",25
432,"Haryana","Kalka",25
433,"Haryana","Karnal",25
434,"Haryana","Kurukshetra",25
435,"Haryana","Ladwa",25
436,"Haryana","Mahendragarh",25
437,"Haryana","Mandi Dabwali",25
438,"Haryana","Manesar",25
439,"Haryana","Narnaul",25
440,"Haryana","Narwana",25
441,"Haryana","Palwal",25
442,"Haryana","Panchkula",25
443,"Haryana","Panipat",25
444,"Haryana","Pehowa",25
445,"Haryana","Pinjore",25
446,"Haryana","Panipat",25
447,"Haryana","Rewari",25
448,"Haryana","Rohtak",25
449,"Haryana","Sirsa",25
450,"Haryana","Sonipat",25
451,"Haryana","Yamunanagar",25
452,"Himachal Pradesh","Bilaspur",24
453,"Himachal Pradesh","Chamba",24
454,"Himachal Pradesh","Hamirpur",24
455,"Himachal Pradesh","Kangra",24
456,"Himachal Pradesh","Kinnaur",24
457,"Himachal Pradesh","Kullu",24
458,"Himachal Pradesh","Lahaul and Spiti",24
459,"Himachal Pradesh","Mandi",24
460,"Himachal Pradesh","Shimla",24
461,"Himachal Pradesh","Sirmaur",24
462,"Himachal Pradesh","Solan",24
463,"Himachal Pradesh","Una",24
464,"Jammu and Kashmir","Anantnag",2
465,"Jammu and Kashmir","Bandipora",2
466,"Jammu and Kashmir","Baramulla",2
467,"Jammu and Kashmir","Budgam",2
468,"Jammu and Kashmir","Doda",2
469,"Jammu and Kashmir","Jammu",2
470,"Jammu and Kashmir","Kargil",2
471,"Jammu and Kashmir","Kathua",2
472,"Jammu and Kashmir","Kupwara",2
473,"Jammu and Kashmir","Leh",2
474,"Jammu and Kashmir","Poonch",2
475,"Jammu and Kashmir","Pulwama",2
476,"Jammu and Kashmir","Rajouri",2
477,"Jammu and Kashmir","Reasi",2
478,"Jammu and Kashmir","Shopian",2
479,"Jammu and Kashmir","Srinagar",2
480,"Jammu and Kashmir","Udhampur",2
481,"Jharkhand","Amlabad",20
482,"Jharkhand","Ara",20
483,"Jharkhand","Barughutu",20
484,"Jharkhand","Bokaro Steel City",20
485,"Jharkhand","Chaibasa",20
486,"Jharkhand","Chakradharpur",20
487,"Jharkhand","Chandil",20
488,"Jharkhand","Chandrapura",20
489,"Jharkhand","Chatra",20
490,"Jharkhand","Chirkunda",20
491,"Jharkhand","Churi",20
492,"Jharkhand","Daltonganj",20
493,"Jharkhand","Deoghar",20
494,"Jharkhand","Dhanbad",20
495,"Jharkhand","Dumka",20
496,"Jharkhand","East Singhbhum",20
497,"Jharkhand","Garhwa",20
498,"Jharkhand","Ghatshila",20
499,"Jharkhand","Giridih",20
500,"Jharkhand","Godda",20
501,"Jharkhand","Gomoh",20
502,"Jharkhand","Gumia",20
503,"Jharkhand","Gumla",20
504,"Jharkhand","Hazaribag",20
505,"Jharkhand","Hussainabad",20
506,"Jharkhand","Jamshedpur",20
507,"Jharkhand","Jamtara",20
508,"Jharkhand","Jhumri Tilaiya",20
509,"Jharkhand","Khunti",20
510,"Jharkhand","Koderma",20
511,"Jharkhand","Latehar",20
512,"Jharkhand","Lohardaga",20
513,"Jharkhand","Madhupur",20
514,"Jharkhand","Mihijam",20
515,"Jharkhand","Musabani",20
516,"Jharkhand","Pakaur",20
517,"Jharkhand","Patratu",20
518,"Jharkhand","Palamu",20
519,"Jharkhand","Phusro",20
520,"Jharkhand","Ramgarh",20
521,"Jharkhand","Ranchi",20
522,"Jharkhand","Sahibganj",20
523,"Jharkhand","Saraikela Kharsawan",20
524,"Jharkhand","Simdega",20
525,"Jharkhand","West Singhbhum",20
526,"Karnataka","Aalanavara",7
527,"Karnataka","Adyar",7
528,"Karnataka","Afzalpura",7
529,"Karnataka","Alandha",7
530,"Karnataka","Alur",7
531,"Karnataka","Ambikaanagara",7
532,"Karnataka","Anekal",7
533,"Karnataka","Ankola",7
534,"Karnataka","Annigeri",7
535,"Karnataka","Arkalgud",7
536,"Karnataka","Arsikere",7
537,"Karnataka","Athni",7
538,"Karnataka","Aurad",7
539,"Karnataka","Bagalkot",7
540,"Karnataka","Bellary",7
541,"Karnataka","Bangalore",7
542,"Karnataka","Belgaum",7
543,"Karnataka","Bengaluru",7
544,"Karnataka","Bidar",7
545,"Karnataka","Bijapur",7
546,"Karnataka","Chamarajanagara",7
547,"Karnataka","Chikaballapura",7
548,"Karnataka","Chikkamagalur",7
549,"Karnataka","Chikkodi",7
550,"Karnataka","Chinthaamani",7
551,"Karnataka","Chitradurga",7
552,"Karnataka","Davanagere",7
553,"Karnataka","Dharwad",7
554,"Karnataka","Gadhaga",7
555,"Karnataka","Gadag",7
556,"Karnataka","Gokak",7
557,"Karnataka","Gulbarga",7
558,"Karnataka","Gundlupet",7
559,"Karnataka","Hassan",7
560,"Karnataka","Haveri",7
561,"Karnataka","Hosapet",7
562,"Karnataka","Hubbali",7
563,"Karnataka","Hukkeri",7
564,"Karnataka","Kaarkala",7
565,"Karnataka","Kalburgi",7
566,"Karnataka","Karwar",7
567,"Karnataka","Kodagu",7
568,"Karnataka","Kolar",7
569,"Karnataka","Kota",7
570,"Karnataka","Koppal",7
571,"Karnataka","Lakshmishawara",7
572,"Karnataka","Lingsuguru",7
573,"Karnataka","Maagadi",7
574,"Karnataka","Maaluru",7
575,"Karnataka","Maanvi",7
576,"Karnataka","Maddhuru",7
577,"Karnataka","Madhugiri",7
578,"Karnataka","Madikeri",7
579,"Karnataka","Mahalingapura",7
580,"Karnataka","Malavalli",7
581,"Karnataka","Mandya",7
582,"Karnataka","Mangalooru",7
583,"Karnataka","Mudabidri",7
584,"Karnataka","Mudalagi",7
585,"Karnataka","Muddebihala",7
586,"Karnataka","Mudhola",7
587,"Karnataka","Mulabaagilu",7
588,"Karnataka","Mundaragi",7
589,"Karnataka","Mysore",7
590,"Karnataka","Nanjanagoodu",7
591,"Karnataka","Nippani",7
592,"Karnataka","Paavagada",7
593,"Karnataka","Pereyaapatna",7
594,"Karnataka","Puthooru",7
595,"Karnataka","Raichur",7
596,"Karnataka","Ramanagara",7
597,"Karnataka","Shimoga",7
598,"Karnataka","Tumkur",7
599,"Karnataka","Udupi",7
600,"Karnataka","Uttara Kannada",7
601,"Karnataka","Yadgir",7
602,"Kerala","Adoor",8
603,"Kerala","Akathiyoor",8
604,"Kerala","Alappuzha",8
605,"Kerala","Ancharakandy",8
606,"Kerala","Aroor",8
607,"Kerala","Ashtamichira",8
608,"Kerala","Attingal",8
609,"Kerala","Avinissery",8
610,"Kerala","Chalakudy",8
611,"Kerala","Changanassery",8
612,"Kerala","Chendamangalam",8
613,"Kerala","Chengannur",8
614,"Kerala","Cherthala",8
615,"Kerala","Cheruthazham",8
616,"Kerala","Chittur-Thathamangalam",8
617,"Kerala","Chockli",8
618,"Kerala","Ernakulam",8
619,"Kerala","Erattupetta",8
620,"Kerala","Guruvayoor",8
621,"Kerala","Idukki",8
622,"Kerala","Irinjalakuda",8
623,"Kerala","Kadirur",8
624,"Kerala","Kalliasseri",8
625,"Kerala","Kalpetta",8
626,"Kerala","Kanhangad",8
627,"Kerala","Kanjikkuzhi",8
628,"Kerala","Kannur",8
629,"Kerala","Kasaragod",8
630,"Kerala","Kayamkulam",8
631,"Kerala","Kochi",8
632,"Kerala","Kodungallur",8
633,"Kerala","Kollam",8
634,"Kerala","Koothuparamba",8
635,"Kerala","Kothamangalam",8
636,"Kerala","Kottayam",8
637,"Kerala","Kozhikode",8
638,"Kerala","Kunnamkulam",8
639,"Kerala","Mahe",8
640,"Kerala","Malappuram",8
641,"Kerala","Mattannur",8
642,"Kerala","Mavelikkara",8
643,"Kerala","Mavoor",8
644,"Kerala","Muvattupuzha",8
645,"Kerala","Nedumangad",8
646,"Kerala","Neyyattinkara",8
647,"Kerala","Nilambur",8
648,"Kerala","Ottappalam",8
649,"Kerala","Palai",8
650,"Kerala","Palakkad",8
651,"Kerala","Panamattom",8
652,"Kerala","Panniyannur",8
653,"Kerala","Pappinisseri",8
654,"Kerala","Paravoor",8
655,"Kerala","Pathanamthitta",8
656,"Kerala","Peringathur",8
657,"Kerala","Perinthalmanna",8
658,"Kerala","Perumbavoor",8
659,"Kerala","Ponkunnam",8
660,"Kerala","Ponnani",8
661,"Kerala","Punalur",8
662,"Kerala","Puthuppally",8
663,"Kerala","Thrissur",8
664,"Kerala","Wayanad",8
665,"Lakshadweep","Amini",19
666,"Lakshadweep","Kavaratti*",19
667,"Madhya Pradesh","Alirajpur",26
668,"Madhya Pradesh","Anuppur",26
669,"Madhya Pradesh","Ashok Nagar",26
670,"Madhya Pradesh","Badagaon",26
671,"Madhya Pradesh","Balaghat",26
672,"Madhya Pradesh","Barwani",26
673,"Madhya Pradesh","Betul",26
674,"Madhya Pradesh","Bhind",26
675,"Madhya Pradesh","Bhopal",26
676,"Madhya Pradesh","Burhanpur",26
677,"Madhya Pradesh","Chhatarpur",26
678,"Madhya Pradesh","Chhindwara",26
679,"Madhya Pradesh","Chitrakoot",26
680,"Madhya Pradesh","Dabra",26
681,"Madhya Pradesh","Damoh",26
682,"Madhya Pradesh","Datia",26
683,"Madhya Pradesh","Dewas",26
684,"Madhya Pradesh","Dhar",26
685,"Madhya Pradesh","Dindori",26
686,"Madhya Pradesh","Fatehabad",26
687,"Madhya Pradesh","Guna",26
688,"Madhya Pradesh","Gwalior",26
689,"Madhya Pradesh","Harda",26
690,"Madhya Pradesh","Hoshangabad",26
691,"Madhya Pradesh","Indore",26
692,"Madhya Pradesh","Jabalpur",26
693,"Madhya Pradesh","Jhabua",26
694,"Madhya Pradesh","Kailaras",26
695,"Madhya Pradesh","Katni",26
696,"Madhya Pradesh","Khandwa",26
697,"Madhya Pradesh","Khargone",26
698,"Madhya Pradesh","Khurai",26
699,"Madhya Pradesh","Kotma",26
700,"Madhya Pradesh","Lahar",26
701,"Madhya Pradesh","Lundi",26
702,"Madhya Pradesh","Maharajpur",26
703,"Madhya Pradesh","Mahidpur",26
704,"Madhya Pradesh","Maihar",26
705,"Madhya Pradesh","Malajkhand",26
706,"Madhya Pradesh","Mandla",26
707,"Madhya Pradesh","Manasa",26
708,"Madhya Pradesh","Manawar",26
709,"Madhya Pradesh","Mandideep",26
710,"Madhya Pradesh","Mandla",26
711,"Madhya Pradesh","Mandsaur",26
712,"Madhya Pradesh","Mauganj",26
713,"Madhya Pradesh","Mhow Cantonment",26
714,"Madhya Pradesh","Mhowgaon",26
715,"Madhya Pradesh","Morena",26
716,"Madhya Pradesh","Multai",26
717,"Madhya Pradesh","Murwara",26
718,"Madhya Pradesh","Nagda",26
719,"Madhya Pradesh","Nainpur",26
720,"Madhya Pradesh","Narsinghgarh",26
721,"Madhya Pradesh","Narsinghgarh",26
722,"Madhya Pradesh","Narsinghpur",26
723,"Madhya Pradesh","Neemuch",26
724,"Madhya Pradesh","Nepanagar",26
725,"Madhya Pradesh","Niwari",26
726,"Madhya Pradesh","Nowgong",26
727,"Madhya Pradesh","Nowrozabad",26
728,"Madhya Pradesh","Pachore",26
729,"Madhya Pradesh","Pali",26
730,"Madhya Pradesh","Panagar",26
731,"Madhya Pradesh","Pandhurna",26
732,"Madhya Pradesh","Panna",26
733,"Madhya Pradesh","Pasan",26
734,"Madhya Pradesh","Pipariya",26
735,"Madhya Pradesh","Pithampur",26
736,"Madhya Pradesh","Porsa",26
737,"Madhya Pradesh","Prithvipur",26
738,"Madhya Pradesh","Raisen",26
739,"Madhya Pradesh","Rajgarh",26
740,"Madhya Pradesh","Ratlam",26
741,"Madhya Pradesh","Rewa",26
742,"Madhya Pradesh","Sagar",26
743,"Madhya Pradesh","Satna",26
744,"Madhya Pradesh","Sehore",26
745,"Madhya Pradesh","Seoni",26
746,"Madhya Pradesh","Shahdol",26
747,"Madhya Pradesh","Shajapur",26
748,"Madhya Pradesh","Sheopur",26
749,"Madhya Pradesh","Shivpuri",26
750,"Madhya Pradesh","Sidhi",26
751,"Madhya Pradesh","Singrauli",26
752,"Madhya Pradesh","Tikamgarh",26
