Candidate,Criminal Cases,Education,ID,Party,Total Assets,Total Liabilities,ConstituencyID
Baijnath Yadav,0,5th Pass,2637,Bahujan Mukti Party,6060167,350000,92
Bharat Bhushan Pandey,0,Doctorate,2638,Akhil Bharatiya Jan Sangh,1757000,0,92
Dr. Surendra Kumar Prasad,0,Post Graduate,2643,AAP,12314344,0,92
Gopal Singh,0,10th Pass,2649,IND,2410664,0,92
Meena,0,Graduate,2647,JD(U),90737486,6915766,92
Raj Kumar Singh,0,Graduate Professional,2641,BJP,48403293,0,92
Raju Yadav,1,Post Graduate,2642,CPI(ML)L,491000,0,92
Ramesh Chandra Badal,1,Literate,2640,BSP,726000,0,92
Shambhu Prasad Sharma,0,Graduate Professional,2639,Hindustan Vikas Dal,300000,0,92
Shankar Dayal Paswan,4,Others,2645,IND,1525000,2500,92
Sri Bhagwan Singh Kushwaha,1,10th Pass,2644,RJD,7973528,2039416,92
Ashok Shukla Senani,0,Graduate,8089,AAP,28386558,3331955,452
Asif Nizamuddin Siddique,0,10th Pass,8097,BSP,124709603,4377795,452
Azmal Khan,0,Graduate Professional,8753,IND,4300000,0,452
Bal Krishna,0,12th Pass,8428,JD(U),1512000,0,452
Foolchandra,1,5th Pass,8430,SHS,7707081,6050000,452
Harivansh,0,10th Pass,8429,IND,645000,0,452
Kuwar Harivansh Singh,5,Graduate,8743,Apna Dal,383137665,149404112,452
Nirmala Devi,0,8th Pass,8744,Bhartiya Vanchitsamaj Party,85378,0,452
Pramod Kumar Singh Patel,3,Post Graduate,8090,SP,64595489,2778333,452
Rajendra Sharma,0,12th Pass,8093,Rashtriya Janshanti Party,2916000,0,452
Rajkumari Ratna Singh,6,Graduate,8432,INC,182186713,600000,452
Ram Sewak,1,8th Pass,8425,Bahujan Mukti Party,3549745,48225,452
Santosh Kumar Singh,0,12th Pass,8092,AITC,224890,0,452
Sheshnath,0,5th Pass,8094,SUCI(C),1877620,0,452
Smt. Kiran Mishra,0,Post Graduate,8091,IND,11430698,60347,452
Ashok Singh,1,Post Graduate,8020,INC,1893272,0,459
Bal Mukund Dhuriya,3,12th Pass,8021,CPI(ML)L,32000,0,459
Brijesh Kumar,1,Post Graduate,8404,AAP,587612,0,459
Hariom,0,Post Graduate,8403,BJP,15318114,0,459
Jaahar Singh Kashyap,1,Graduate Professional,8651,Bahujan Mukti Party,16443251,0,459
Rakesh Pandey,3,8th Pass,8014,BSP,273099579,1905400,459
Ram Bahal Verma,0,Graduate,8645,Samyak Parivartan Party,15638811,0,459
Ram Murti Verma,0,12th Pass,8018,SP,19754903,1344436,459
Surendra Kumar,0,Not Given,8015,Adarsh Rashtriya Vikas Party,100000,0,459
