uuid,did,cid,name,cname,designation
716,167,7247,A K Sureka,Ispat Mettallics India Ltd(merged),Director
717,168,5498,A K Taneja,Shriram Pistons & Rings Ltd,Managing Director & CEO
718,169,544,A K Thakur,SML ISUZU Ltd,Director
719,170,20944,A K Thiagarajan,Alstom Projects India Ltd,Director
720,171,5497,A K Tiwari,Ircon International Ltd,Official Director (Part time)
721,172,27419,A K Vijay,Texmaco Rail & Engineering Ltd,Company Secretary
722,173,12734,A K Vora,Tata International Ltd,Director
723,174,2831,A Karati,Sangam (India) Ltd,Director
724,175,1474,A Karati,Uflex Ltd,Nominee (ICICI)
725,176,578,A Khaitan,Eveready Industries India Ltd,Whole-time Director
726,177,23884,A Krishnamoorthy,Simpson & Company Ltd,Vice Chairman & M.D.
727,178,12421,A Krishnamoorthy,Cethar Vessels Ltd,Director
728,179,5200,A L Suri,Lakshmi Energy & Foods Ltd,Director
729,180,14057,A Lgaki,Honda Siel Cars India Ltd,Whole-time Director
730,181,20099,A M K Sinha,Petronet LNG Ltd,Nominee Director IOCL
731,182,12002,A M K Sinha,Indian Oil Corporation Ltd,Director (Busin.Devlop. & Plan
732,183,18105,A M Naik,Larsen & Toubro Infotech Ltd,Chairman
733,184,18105,A M Naik,Larsen & Toubro Infotech Ltd,Director
734,185,348,A M Naik,Larsen & Toubro Ltd,Executive Chairman
735,186,28009,A M Palanisamy,K P R Mill Ltd,Director
736,187,459,A M Sawhney,Punjab Tractors Ltd(merged),Deputy Managing Director
737,188,213,A M Tiwari,Gujarat Narmada Valley Fertilisers Company Ltd,Managing Director
738,189,21960,A Mahendran,Godrej Consumer Products Ltd,Managing Director
739,190,4666,A Mohan Rami Reddy,Aurobindo Pharma Ltd,Company Secretary
740,191,2897,A Mukherjee,Simplex Infrastructures Ltd,Whole-time Director
741,192,12466,A Murugappan,ICICI Securities Ltd,Executive Director
742,193,3511,A N Alawani,Kirloskar Ferrous Industries Ltd,Director
743,194,336,A N Alawani,Kirloskar Brothers Ltd,Director
744,195,700,A N Choudhury,RSWM Ltd,Director
745,196,6437,A N Jangle,Afcons Infrastructure Ltd,Executive Director
746,197,2990,A N Jariwala,Banswara Syntex Ltd,Director
747,198,24345,A N Mani,L & T-Komatsu Ltd,Director
748,199,1768,A N Nair,Winro Commercial (India) Ltd,Director
749,200,3219,A N Parekh,Pidilite Industries Ltd,Whole-time Director
750,201,195,A N Roy,Glaxosmithkline Pharma Ltd,Additional Director
751,202,12420,A N Saksena,Panacea Biotec Ltd,Director
752,203,12420,A N Saksena,Panacea Biotec Ltd,Director
753,204,16012,A N Sinha,Tulip Telecom Ltd,Director
754,205,255,A Narayan,Hindustan Unilever Ltd,Director
